Cluster Labels,Location,Avg Price,Latitude,Longitude,Profile Score,Profile
0,"ALTRINCHAM, CHESHIRE EAST",449859,53.38690459999999,-2.3488983,3.0,WSDA
3,"ALTRINCHAM, GREATER MANCHESTER",329720,53.38690459999999,-2.3488983,3.0,WSDA
0,"AMERSHAM, BUCKINGHAMSHIRE",484777,51.6755179,-0.6072409999999999,3.0,T
1,"AMMANFORD, CARMARTHENSHIRE",138778,51.792888,-3.988459,2.0,TL
1,"AMMANFORD, NEATH PORT TALBOT",103161,51.7956806,-3.996750199999999,2.0,TL
1,"AMMANFORD, SWANSEA",148333,51.62144,-3.943645999999999,2.2,STMLA
3,"ANDOVER, HAMPSHIRE",265608,51.2111975,-1.4919233,2.6666666666666665,WSTDLA
3,"ANDOVER, SOUTHAMPTON",238000,50.9120624,-1.4218703,2.6666666666666665,WSTDLA
3,"ANDOVER, WILTSHIRE",224367,51.2090925,-1.5215517,2.6666666666666665,WSTDLA
0,"ASCOT, BRACKNELL FOREST",407860,51.4062365,-0.6755624,3.0,T
0,"ASCOT, SURREY",559735,51.4062365,-0.6755624,3.0,T
0,"ASCOT, WINDSOR AND MAIDENHEAD",513034,51.4062365,-0.6755624,3.0,T
3,"ASHBOURNE, DERBYSHIRE",287197,53.016626,-1.732179,3.0,WSA
3,"ASHBOURNE, STAFFORDSHIRE",261192,53.016626,-1.732179,3.0,WSA
0,"ASHBY-DE-LA-ZOUCH, DERBYSHIRE",516000,52.749212,-1.468618,2.0,TA
1,"ASHBY-DE-LA-ZOUCH, LEICESTER",190000,52.749212,-1.468618,2.0,TA
1,"ASHBY-DE-LA-ZOUCH, LEICESTERSHIRE",253794,52.749212,-1.468618,2.0,TA
3,"ASHFORD, EAST SUSSEX",125000,51.1464659,0.875019,3.0,WSTDL
2,"ASHFORD, GREATER LONDON",363333,51.4274516,-0.4552643,5.0,W
3,"ASHFORD, KENT",263171,51.1464659,0.875019,3.0,WSTDL
2,"ASHFORD, SURREY",341632,51.4274516,-0.4552643,5.0,W
1,"ASHINGTON, NORTHUMBERLAND",132118,55.182978,-1.5659829,1.6666666666666667,DLA
0,"ASHTEAD, SURREY",533082,51.31068399999999,-0.296968,3.0,WSTL
1,"ASHTON-UNDER-LYNE, GREATER MANCHESTER",131997,53.4876815,-2.0961077,2.3333333333333335,STDMLA
1,"ATHERSTONE, LEICESTERSHIRE",330498,52.576614,-1.543763,1.0,A
1,"ATHERSTONE, WARWICKSHIRE",183148,52.576614,-1.543763,1.0,A
1,"ATTLEBOROUGH, NORFOLK",234486,52.518064,1.015527,2.0,SL
3,"AXMINSTER, DEVON",259643,50.78272699999999,-2.994937,3.0,T
3,"AYLESBURY, BUCKINGHAMSHIRE",300793,51.815606,-0.8084,2.7142857142857144,WSTDMLA
1,"AYLESBURY, MILTON KEYNES",363750,52.0606843,-0.8124359,2.0,TDLA
0,"AYLESBURY, OXFORDSHIRE",380875,51.815606,-0.8084,2.7142857142857144,WSTDMLA
3,"AYLESFORD, KENT",284320,51.304309,0.47806,3.0,WSMA
3,"AYLESFORD, MEDWAY",153000,51.304309,0.47806,3.0,WSMA
3,"BACUP, LANCASHIRE",140560,53.707167,-2.201259,3.0,M
3,"BACUP, WEST YORKSHIRE",152000,53.707167,-2.201259,3.0,M
1,"BAGILLT, FLINTSHIRE",126225,53.267912,-3.174352,2.5,STDL
2,"BAGSHOT, SURREY",348539,51.360343,-0.697894,5.0,W
1,"BAKEWELL, DERBYSHIRE",331813,53.215207,-1.676171,1.0,A
0,"BALDOCK, CAMBRIDGESHIRE",576666,51.9895039,-0.189128,2.0,SMLA
1,"BALDOCK, HERTFORDSHIRE",309745,51.9895039,-0.189128,2.0,SMLA
3,"BANBURY, NORTHAMPTONSHIRE",334770,52.0629009,-1.339775,3.0,WSMA
3,"BANBURY, OXFORDSHIRE",269962,52.0629009,-1.339775,3.0,WSMA
3,"BANGOR, GWYNEDD",165083,53.22739,-4.129263,2.6,WDMLA
3,"BANGOR, TORFAEN",241995,53.22739,-4.129263,2.6,WDMLA
2,"BANSTEAD, GREATER LONDON",827502,51.3221909,-0.205046,4.0,WD
2,"BANSTEAD, SURREY",458353,51.3221909,-0.205046,4.0,WD
1,"BARGOED, CAERPHILLY",105371,51.684912,-3.229699,2.3333333333333335,DMA
1,"BARGOED, CARDIFF",65000,51.4683539,-3.1807953,2.3333333333333335,STDMLA
3,"BARKING, GREATER LONDON",253095,51.536563,0.075766,2.6,STDML
3,"BARNARD CASTLE, COUNTY DURHAM",188854,54.545284,-1.923741,3.0,M
0,"BARNET, GREATER LONDON",455829,51.6049673,-0.2076295,3.0,WSTA
0,"BARNET, HERTFORDSHIRE",867000,51.6569225,-0.1949252,3.0,WSA
0,"BARNSLEY, HERTFORDSHIRE",527500,53.55263,-1.479726,2.2,TDMLA
1,"BARNSLEY, SOUTH YORKSHIRE",133308,53.55263,-1.479726,2.2,TDMLA
1,"BARNSLEY, WEST YORKSHIRE",163731,53.55263,-1.479726,2.2,TDMLA
3,"BARNSTAPLE, DEVON",226455,51.0781599,-4.058338,2.5,STDL
1,"BARROW-IN-FURNESS, CUMBRIA",137647,54.108967,-3.218894,2.3333333333333335,DMA
1,"BARRY, CARDIFF",110475,51.3997529,-3.2825859,2.5,TDML
3,"BARRY, NEWPORT",229995,51.3997529,-3.2825859,2.5,TDML
3,"BARRY, THE VALE OF GLAMORGAN",164892,51.3997529,-3.2825859,2.5,TDML
1,"BARTON-UPON-HUMBER, NORTH LINCOLNSHIRE",144602,53.686675,-0.443368,2.0,TL
1,"BASILDON, ESSEX",222872,51.57608399999999,0.488736,2.0,SDLA
0,"BASILDON, THURROCK",427142,51.5582929,0.4514304,2.3333333333333335,DML
3,"BASINGSTOKE, HAMPSHIRE",266731,51.26654,-1.0923964,2.7142857142857144,WSTDMLA
3,"BATH, BATH AND NORTH EAST SOMERSET",349396,51.3810641,-2.3590167,3.0,WSML
0,"BATH, SOMERSET",458264,51.3810641,-2.3590167,3.0,WSML
1,"BATH, SOUTH GLOUCESTERSHIRE",315000,51.4576114,-2.507493,2.2,SDMLA
0,"BATH, WILTSHIRE",417096,51.3810641,-2.3590167,3.0,WSML
1,"BATLEY, WEST YORKSHIRE",142359,53.717028,-1.635083,2.2,SDMLA
2,"BEACONSFIELD, BUCKINGHAMSHIRE",596697,51.602396,-0.6442409,3.6666666666666665,WST
1,"BECCLES, NORFOLK",277298,52.459333,1.566053,2.0,ML
1,"BECCLES, SUFFOLK",226628,52.459333,1.566053,2.0,ML
0,"BECKENHAM, GREATER LONDON",435719,51.40817,-0.025813,2.6,WSTLA
1,"BEDFORD, BEDFORD",253972,52.1386394,-0.4667782,2.2,STMLA
2,"BEDFORD, CENTRAL BEDFORDSHIRE",311577,52.0029744,-0.4651388999999999,4.0,WT
1,"BEDFORD, LUTON",217487,51.8786707,-0.4200255,2.0,SDLA
0,"BEDFORD, MILTON KEYNES",462650,52.0406224,-0.7594171,2.6666666666666665,WSDMLA
3,"BEDLINGTON, NORTHUMBERLAND",146584,55.131664,-1.599454,2.5,TDML
1,"BEDWORTH, WARWICKSHIRE",153436,52.481392,-1.468869,1.0,A
1,"BELPER, CITY OF DERBY",160000,53.0243899,-1.477616,2.0,MA
1,"BELPER, DERBYSHIRE",208655,53.0243899,-1.477616,2.0,MA
3,"BELVEDERE, GREATER LONDON",232614,51.48516499999999,0.14827,2.5,SDML
1,"BENFLEET, ESSEX",296544,51.54612299999999,0.567411,1.6666666666666667,MLA
1,"BENFLEET, SOUTHEND-ON-SEA",335000,51.56616709999999,0.5792811999999999,2.0,SMLA
2,"BERKHAMSTED, BUCKINGHAMSHIRE",410866,51.75976600000001,-0.5678569000000001,5.0,W
2,"BERKHAMSTED, CENTRAL BEDFORDSHIRE",620000,51.75976600000001,-0.5678569000000001,5.0,W
2,"BERKHAMSTED, HERTFORDSHIRE",491088,51.75976600000001,-0.5678569000000001,5.0,W
3,"BERWICK-UPON-TWEED, NORTHUMBERLAND",180064,55.770242,-2.005395,2.5,TDMA
1,"BEVERLEY, CITY OF KINGSTON UPON HULL",339950,53.841963,-0.435093,2.2,TDMLA
1,"BEVERLEY, EAST RIDING OF YORKSHIRE",209666,53.841963,-0.435093,2.2,TDMLA
1,"BEXHILL-ON-SEA, EAST SUSSEX",233982,50.8499062,0.4662071,2.0,STLA
0,"BEXLEY, GREATER LONDON",401022,51.4519021,0.1171786,2.6,STDML
1,"BEXLEY, KENT",368497,51.439933,0.154327,2.0,SDLA
3,"BEXLEYHEATH, GREATER LONDON",323333,51.45334099999999,0.13822,2.3333333333333335,STDMLA
0,"BICESTER, BUCKINGHAMSHIRE",404804,51.899603,-1.1535899,2.0,STLA
1,"BICESTER, OXFORDSHIRE",311802,51.899603,-1.1535899,2.0,STLA
1,"BIDEFORD, DEVON",220647,51.016684,-4.206666,2.2,TDMLA
3,"BIGGLESWADE, BEDFORD",270500,52.086938,-0.26422,2.3333333333333335,SDA
1,"BIGGLESWADE, CENTRAL BEDFORDSHIRE",257463,52.086938,-0.26422,2.3333333333333335,SDA
2,"BILLERICAY, ESSEX",384542,51.627903,0.418397,5.0,W
3,"BILLINGHAM, COUNTY DURHAM",119000,54.612537,-1.290961,3.0,TD
3,"BILLINGHAM, HARTLEPOOL",362630,54.612537,-1.290961,3.0,TD
3,"BILLINGHAM, STOCKTON-ON-TEES",157442,54.612537,-1.290961,3.0,TD
1,"BILSTON, WEST MIDLANDS",121429,52.56559499999999,-2.074088,2.3333333333333335,STDMLA
1,"BINGLEY, WEST YORKSHIRE",189152,53.847389,-1.833781,1.0,LA
1,"BIRKENHEAD, MERSEYSIDE",121361,53.38999099999999,-3.023009,2.2,STDLA
1,"BIRMINGHAM, WARWICKSHIRE",225339,52.48624299999999,-1.890401,2.3333333333333335,STDMLA
1,"BIRMINGHAM, WEST MIDLANDS",165647,52.48624299999999,-1.890401,2.3333333333333335,STDMLA
1,"BIRMINGHAM, WORCESTERSHIRE",298184,52.395423,-1.876519,2.0,SA
1,"BISHOP AUCKLAND, COUNTY DURHAM",151547,54.663822,-1.678788,2.2,SDMLA
1,"BISHOP AUCKLAND, DARLINGTON",102000,54.663822,-1.678788,2.2,SDMLA
0,"BISHOP'S STORTFORD, ESSEX",425982,51.8721635,0.1536502,3.0,WSTA
3,"BISHOP'S STORTFORD, HERTFORDSHIRE",345386,51.8721635,0.1536502,3.0,WSTA
1,"BLACKBURN, BLACKBURN WITH DARWEN",130887,53.748575,-2.487529,2.2,TDMLA
1,"BLACKBURN, BLACKPOOL",70000,53.748575,-2.487529,2.2,TDMLA
1,"BLACKBURN, LANCASHIRE",183770,53.748575,-2.487529,2.2,TDMLA
1,"BLACKPOOL, BLACKPOOL",119812,53.8175053,-3.0356748,2.0,SDLA
1,"BLACKPOOL, LANCASHIRE",208687,53.8175053,-3.0356748,2.0,SDLA
1,"BLACKWOOD, CAERPHILLY",135059,51.668935,-3.195787,2.5,SDMA
1,"BLACKWOOD, NEWPORT",120000,51.668935,-3.195787,2.5,SDMA
3,"BLANDFORD FORUM, DORSET",277325,50.856908,-2.165353,2.3333333333333335,TML
1,"BLAYDON-ON-TYNE, TYNE AND WEAR",144759,54.96122339999999,-1.7181963,2.0,DMLA
1,"BLYTH, NORTHUMBERLAND",138589,55.126957,-1.510277,2.0,DMLA
1,"BODMIN, CORNWALL",218659,50.4714961,-4.7188629,2.2,SDMLA
3,"BOGNOR REGIS, WEST SUSSEX",253204,50.782998,-0.673061,2.5,STML
3,"BOLDON COLLIERY, TYNE AND WEAR",151026,54.950456,-1.469053,2.5,TDML
3,"BOLTON, BLACKBURN WITH DARWEN",300700,53.695451,-2.46874,2.3333333333333335,SDL
1,"BOLTON, GREATER MANCHESTER",150238,53.57686469999999,-2.4282192,2.2,SDMLA
1,"BOLTON, LANCASHIRE",344274,53.57686469999999,-2.4282192,2.2,SDMLA
1,"BOOTLE, MERSEYSIDE",113453,53.44325500000001,-2.998895,2.3333333333333335,STDMLA
1,"BORDON, HAMPSHIRE",307366,51.115613,-0.861611,2.0,TL
0,"BOREHAMWOOD, HERTFORDSHIRE",371114,51.657728,-0.272308,2.5,WMLA
1,"BOSTON, LINCOLNSHIRE",155471,52.97893999999999,-0.026577,2.0,TDLA
0,"BOURNE END, BUCKINGHAMSHIRE",453625,51.5765108,-0.7100694,3.0,T
0,"BOURNE END, WINDSOR AND MAIDENHEAD",920000,51.5770985,-0.7104815,3.0,T
1,"BOURNE, LINCOLNSHIRE",194888,52.76859899999999,-0.378462,2.3333333333333335,STL
3,"BOURNEMOUTH, BOURNEMOUTH",243865,50.719164,-1.880769,2.6666666666666665,WSTDLA
1,"BOURNEMOUTH, POOLE",254912,50.71505,-1.987248,2.0,SDLA
2,"BRACKLEY, BUCKINGHAMSHIRE",325303,52.027411,-1.143152,4.0,WT
2,"BRACKLEY, NORTHAMPTONSHIRE",286183,52.027411,-1.143152,4.0,WT
2,"BRACKLEY, OXFORDSHIRE",506210,52.027411,-1.143152,4.0,WT
3,"BRACKNELL, BRACKNELL FOREST",322690,51.41604,-0.75398,3.0,WSTMA
3,"BRACKNELL, WEST BERKSHIRE",283950,51.41604,-0.75398,3.0,WSTMA
3,"BRACKNELL, WINDSOR AND MAIDENHEAD",365737,51.41604,-0.75398,3.0,WSTMA
0,"BRACKNELL, WOKINGHAM",525000,51.41604,-0.75398,3.0,WSTMA
1,"BRADFORD, WEST YORKSHIRE",134585,53.795984,-1.759398,2.2,TDMLA
1,"BRADFORD-ON-AVON, WILTSHIRE",329887,51.345178,-2.2525019,2.0,SL
3,"BRAINTREE, ESSEX",261096,51.880087,0.5509269,2.5,STML
1,"BRANDON, NORFOLK",165718,52.446542,0.622533,1.0,A
1,"BRANDON, SUFFOLK",155214,52.446542,0.622533,1.0,A
3,"BRAUNTON, DEVON",294960,51.10803900000001,-4.161014,3.0,T
3,"BRAUNTON, DORSET",80000,51.10803900000001,-4.161014,3.0,T
1,"BRECON, POWYS",215625,51.9489469,-3.391463,2.0,MA
0,"BRENTFORD, GREATER LONDON",447077,51.486073,-0.3101169,3.0,WSML
0,"BRENTWOOD, ESSEX",378374,51.620475,0.3071749,3.0,S
0,"BRENTWOOD, THURROCK",388000,51.6264875,0.2586997,2.0,SL
1,"BRIDGEND, BRIDGEND",153820,51.504286,-3.576945,2.2,STDLA
1,"BRIDGEND, CARDIFF",131500,51.5343551,-3.5799963,2.2,STDLA
1,"BRIDGEND, NEATH PORT TALBOT",255500,51.599137,-3.7995946,2.0,TMLA
1,"BRIDGEND, RHONDDA CYNON TAFF",150500,51.504286,-3.576945,2.2,STDLA
1,"BRIDGEND, THE VALE OF GLAMORGAN",345076,51.4979255,-3.5485376,2.0,TDLA
1,"BRIDGNORTH, SHROPSHIRE",224660,52.53445499999999,-2.424549,2.0,SA
0,"BRIDGNORTH, STAFFORDSHIRE",417500,52.53445499999999,-2.424549,2.0,SA
1,"BRIDGWATER, NORTH SOMERSET",161000,51.145945,-2.992042,2.2,SDMLA
1,"BRIDGWATER, SOMERSET",194365,51.127889,-3.003632,2.2,SDMLA
1,"BRIDLINGTON, EAST RIDING OF YORKSHIRE",141158,54.08535,-0.198802,2.3333333333333335,TMA
1,"BRIDLINGTON, NORTH YORKSHIRE",250000,54.08535,-0.198802,2.3333333333333335,TMA
3,"BRIDPORT, DORSET",286564,50.7335769,-2.758301,3.0,WML
1,"BRIERLEY HILL, WEST MIDLANDS",139258,52.4821669,-2.120309,2.0,SDLA
1,"BRIGG, LINCOLNSHIRE",293154,53.55184999999999,-0.491887,2.0,TL
1,"BRIGG, NORTH LINCOLNSHIRE",160510,53.55184999999999,-0.491887,2.0,TL
3,"BRIGHOUSE, WEST YORKSHIRE",159978,53.699729,-1.782501,3.0,WSTDL
3,"BRIGHTON, BRIGHTON AND HOVE",333924,50.82253000000001,-0.137163,2.7142857142857144,WSTDMLA
3,"BRIGHTON, EAST SUSSEX",315759,50.82253000000001,-0.137163,2.7142857142857144,WSTDMLA
3,"BRIGHTON, WEST SUSSEX",306574,50.82253000000001,-0.137163,2.7142857142857144,WSTDMLA
3,"BRISTOL, BATH AND NORTH EAST SOMERSET",304387,51.454513,-2.58791,2.6666666666666665,WSTDLA
3,"BRISTOL, CITY OF BRISTOL",254440,51.454513,-2.58791,2.6666666666666665,WSTDLA
3,"BRISTOL, GLOUCESTERSHIRE",230642,51.454513,-2.58791,2.6666666666666665,WSTDLA
3,"BRISTOL, NORTH SOMERSET",311636,51.4600794,-2.5915505,2.6666666666666665,WSTDLA
0,"BRISTOL, SOMERSET",453027,51.454513,-2.58791,2.6666666666666665,WSTDLA
3,"BRISTOL, SOUTH GLOUCESTERSHIRE",246589,51.454513,-2.58791,2.6666666666666665,WSTDLA
3,"BROADSTAIRS, KENT",269840,51.360163,1.432038,2.6,WSDLA
0,"BROADSTONE, DORSET",411581,50.75711,-1.992042,2.0,DL
1,"BROADSTONE, POOLE",375856,50.75711,-1.992042,2.0,DL
0,"BROMLEY, GREATER LONDON",396768,51.406025,0.013156,3.0,WSTL
3,"BROMSGROVE, WORCESTERSHIRE",239733,52.335589,-2.061906,2.6,WDMLA
1,"BROUGH, CITY OF KINGSTON UPON HULL",110000,53.729988,-0.5732149999999999,2.0,MA
1,"BROUGH, EAST RIDING OF YORKSHIRE",205111,53.729988,-0.5732149999999999,2.0,MA
0,"BROXBOURNE, ESSEX",529828,51.74347299999999,-0.021151,2.5,SDMA
3,"BROXBOURNE, HERTFORDSHIRE",336502,51.74347299999999,-0.021151,2.5,SDMA
2,"BUCKHURST HILL, ESSEX",469154,51.627572,0.034513,3.6666666666666665,WSM
2,"BUCKHURST HILL, GREATER LONDON",464762,51.627572,0.034513,3.6666666666666665,WSM
3,"BUCKINGHAM, BUCKINGHAMSHIRE",318584,51.999326,-0.987645,2.5,WTLA
0,"BUCKINGHAM, OXFORDSHIRE",397236,51.999326,-0.987645,2.5,WTLA
1,"BUCKLEY, DENBIGHSHIRE",176000,53.17005,-3.0814879,1.0,A
1,"BUCKLEY, FLINTSHIRE",166459,53.17005,-3.0814879,1.0,A
3,"BUDE, CORNWALL",275842,50.826636,-4.543678,2.3333333333333335,SML
1,"BUDE, DEVON",261000,50.826636,-4.543678,2.3333333333333335,SML
1,"BUDE, WILTSHIRE",187500,50.826636,-4.543678,2.3333333333333335,SML
0,"BURGESS HILL, EAST SUSSEX",383687,50.954469,-0.128701,3.0,WTL
3,"BURGESS HILL, WEST SUSSEX",309690,50.954469,-0.128701,3.0,WTL
1,"BURNHAM-ON-SEA, NORTH SOMERSET",232000,51.240139,-2.993858,2.0,TDLA
1,"BURNHAM-ON-SEA, SOMERSET",204557,51.240139,-2.993858,2.0,TDLA
1,"BURNLEY, LANCASHIRE",141205,53.7892877,-2.2405035,2.0,SDLA
1,"BURNTWOOD, STAFFORDSHIRE",185815,52.679936,-1.921781,2.3333333333333335,TMA
3,"BURTON-ON-TRENT, DERBYSHIRE",291418,52.81402809999999,-1.6371359,2.3333333333333335,STDMLA
1,"BURTON-ON-TRENT, STAFFORDSHIRE",187052,52.81402809999999,-1.6371359,2.3333333333333335,STDMLA
1,"BURTON-ON-TRENT, STOKE-ON-TRENT",70000,52.9889907,-2.1341568,2.0,SDLA
3,"BURY ST EDMUNDS, SUFFOLK",265413,52.2429228,0.7104931999999999,3.0,WSTDA
1,"BURY, GREATER MANCHESTER",165368,53.5933498,-2.2966054,2.0,TDLA
1,"BURY, LANCASHIRE",188746,53.5933498,-2.2966054,2.0,TDLA
0,"BUSHEY, HERTFORDSHIRE",451770,51.64761499999999,-0.35842,1.6666666666666667,SLA
3,"BUXTON, DERBYSHIRE",199874,53.259082,-1.91483,3.0,WMA
3,"BUXTON, STAFFORDSHIRE",258361,53.259082,-1.91483,3.0,WMA
3,"CAERNARFON, GWYNEDD",156503,53.139551,-4.273911,3.0,TDM
1,"CAERPHILLY, CAERPHILLY",158273,51.578829,-3.218134,2.2,TDMLA
1,"CAERPHILLY, CARDIFF",340000,51.48158100000001,-3.17909,2.2,SDMLA
2,"CALDICOT, MONMOUTHSHIRE",207157,51.591518,-2.750868,4.0,WD
2,"CALDICOT, NEWPORT",318934,51.591518,-2.750868,4.0,WD
3,"CALLINGTON, CORNWALL",212821,50.502332,-4.315735,3.0,T
3,"CALNE, WILTSHIRE",224094,51.43933,-2.003884,3.0,ST
3,"CAMBERLEY, HAMPSHIRE",342792,51.3353899,-0.742856,2.5,WSLA
0,"CAMBERLEY, SURREY",368548,51.3353899,-0.742856,2.5,WSLA
1,"CAMBORNE, CORNWALL",169783,50.21277,-5.2947749,2.0,TMLA
0,"CAMBRIDGE, CAMBRIDGESHIRE",371595,52.205337,0.121817,2.6,WSDLA
0,"CAMBRIDGE, CITY OF PETERBOROUGH",754995,52.5853118,-0.2487812,2.6666666666666665,WSDMLA
0,"CAMBRIDGE, ESSEX",625500,52.205337,0.121817,2.6,WSDLA
1,"CANNOCK, STAFFORDSHIRE",161415,52.69994080000001,-2.0218293,2.3333333333333335,STDMLA
1,"CANNOCK, WEST MIDLANDS",210000,52.69994080000001,-2.0218293,2.3333333333333335,STDMLA
3,"CANTERBURY, KENT",279238,51.280233,1.0789089,2.6666666666666665,WSDMLA
3,"CANVEY ISLAND, ESSEX",223900,51.517083,0.578411,3.0,SM
0,"CARDIFF, CAERPHILLY",369310,51.48158100000001,-3.17909,2.2,SDMLA
1,"CARDIFF, CARDIFF",205130,51.48158100000001,-3.17909,2.2,SDMLA
1,"CARDIFF, NEWPORT",315159,51.584151,-2.997664,2.2,SDMLA
0,"CARDIFF, PEMBROKESHIRE",390000,52.0557785,-4.634951,2.0,TA
1,"CARDIFF, RHONDDA CYNON TAFF",169471,51.5655411,-3.2745162,1.6666666666666667,TLA
1,"CARDIFF, SWANSEA",110000,51.4627496,-3.1888088,2.3333333333333335,STDMLA
1,"CARDIFF, THE VALE OF GLAMORGAN",325301,51.48158100000001,-3.17909,2.2,SDMLA
1,"CARDIGAN, CEREDIGION",185351,52.083703,-4.660864,2.0,TA
1,"CARLISLE, CUMBRIA",154552,54.892473,-2.932931,2.3333333333333335,STDMLA
1,"CARMARTHEN, CARMARTHENSHIRE",178536,51.85762,-4.312131,1.6666666666666667,MLA
1,"CARNFORTH, CUMBRIA",264420,54.1417256,-2.7516498,2.0,TA
1,"CARNFORTH, LANCASHIRE",226766,54.127363,-2.768112,2.0,TA
3,"CARSHALTON, GREATER LONDON",354266,51.365018,-0.164921,3.0,WSDML
0,"CARSHALTON, SURREY",444500,51.365018,-0.164921,3.0,WSDML
1,"CARTERTON, OXFORDSHIRE",251448,51.759712,-1.593124,2.3333333333333335,DMA
1,"CASTLEFORD, WEST YORKSHIRE",133613,53.72346599999999,-1.345968,2.3333333333333335,DMA
2,"CATERHAM, GREATER LONDON",377464,51.28029600000001,-0.08161589999999999,3.6666666666666665,WTM
2,"CATERHAM, SURREY",385841,51.28029600000001,-0.08161589999999999,3.6666666666666665,WTM
1,"CATTERICK GARRISON, NORTH YORKSHIRE",142757,54.3776861,-1.7228174,1.6666666666666667,TLA
0,"CHARD, DORSET",363960,50.8697919,-2.963316,2.3333333333333335,STL
1,"CHARD, SOMERSET",210782,50.8697919,-2.963316,2.3333333333333335,STL
3,"CHATHAM, KENT",271871,51.380952,0.52213,2.6,STDMA
3,"CHATHAM, MEDWAY",197381,51.380952,0.52213,2.6,STDMA
1,"CHATTERIS, CAMBRIDGESHIRE",169797,52.45610199999999,0.054012,1.0,A
3,"CHEADLE, CHESHIRE EAST",296500,53.394361,-2.214115,2.7142857142857144,WSTDMLA
3,"CHEADLE, CHESHIRE WEST AND CHESTER",320000,53.394361,-2.214115,2.7142857142857144,WSTDMLA
3,"CHEADLE, GREATER MANCHESTER",253060,53.394361,-2.214115,2.7142857142857144,WSTDMLA
3,"CHEDDAR, SOMERSET",262952,51.28016400000001,-2.7767019,3.0,S
1,"CHELMSFORD, ESSEX",310424,51.7355868,0.4685497,2.2,TDMLA
0,"CHELMSFORD, LUTON",425000,51.736293,0.4678424,2.2,TDMLA
0,"CHELMSFORD, SOUTHEND-ON-SEA",499999,51.5448387,0.70334,2.5,WSLA
3,"CHELTENHAM, ESSEX",329995,51.8993855,-2.0782533,2.6666666666666665,WSTMLA
3,"CHELTENHAM, GLOUCESTERSHIRE",288062,51.8993855,-2.0782533,2.6666666666666665,WSTMLA
3,"CHELTENHAM, SOUTH GLOUCESTERSHIRE",275000,51.8993855,-2.0782533,2.6666666666666665,WSTMLA
1,"CHEPSTOW, GLOUCESTERSHIRE",267543,51.641856,-2.673804,2.0,TL
1,"CHEPSTOW, MONMOUTHSHIRE",253632,51.641856,-2.673804,2.0,TL
1,"CHERTSEY, SURREY",371527,51.386491,-0.509456,2.0,SA
2,"CHESHAM, BUCKINGHAMSHIRE",362687,51.709401,-0.612333,4.0,WS
2,"CHESHAM, MILTON KEYNES",235000,51.709401,-0.612333,4.0,WS
3,"CHESSINGTON, GREATER LONDON",349964,51.363583,-0.296254,2.5,WSLA
1,"CHESTER LE STREET, COUNTY DURHAM",147805,54.8591161,-1.5740888,2.3333333333333335,TMA
1,"CHESTER LE STREET, TYNE AND WEAR",153349,54.8591161,-1.5740888,2.3333333333333335,TMA
1,"CHESTER, CHESHIRE EAST",245000,53.1610446,-2.2185932,2.3333333333333335,TMA
3,"CHESTER, CHESHIRE WEST AND CHESTER",233501,53.193392,-2.893075,2.7142857142857144,WSTDMLA
1,"CHESTER, FLINTSHIRE",192510,53.193625,-2.934551,2.2,TDMLA
1,"CHESTER, RHONDDA CYNON TAFF",269995,51.64902069999999,-3.4288692,1.6666666666666667,DLA
1,"CHESTERFIELD, DERBYSHIRE",162569,53.235048,-1.421629,2.2,SDMLA
